Code,Name,Prerequisites
MATH 152, Applicable Mathematics and Computing (4),MATH 20D and either MATH 18 or MATH 20F or MATH 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor. 
MATH 153, Geometry for Secondary Teachers (4),"MATH 109 or MATH 31CH, or consent of instructor. "
MATH 154, Discrete Mathematics and Graph Theory (4) ,MATH 31CH or MATH 109. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 155A, Geometric Computer Graphics (4),"MATH 18 or MATH 20F or MATH 31AH, and MATH 20C. Students who have not completed listed prerequisites may enroll with consent of instructor. "
MATH 155B, Topics in Computer Graphics (4),MATH 155A. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 157, Introduction to Mathematical Software (4),MATH 20D and MATH 18 or MATH 20F or MATH 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 158, Extremal Combinatorics and Graph Theory (4),MATH 31CH or MATH 109. Students who have not completed the listed prerequisites may enroll with consent of instructor.
MATH 160A, Elementary Mathematical Logic I (4),"MATH 100A, or MATH 103A, or MATH 140A, or consent of instructor."
MATH 160B, Elementary Mathematical Logic II (4),MATH 160A or consent of instructor.
MATH 163, History of Mathematics (4),MATH 20B or consent of instructor. 
MATH 168A, Topics in Applied Mathematics—Computer Science(4),"MATH 18 or MATH 20F or MATH 31AH, and MATH 20C. Students who have not completed listed prerequisites may enroll with consent of instructor. "
MATH 170A, Introduction to Numerical Analysis: Linear Algebra (4),"MATH 18 or MATH 20F or MATH 31AH, and MATH 20C. Students who have not completed the listed prerequisites may enroll with consent of instructor. "
MATH 170B, Introduction to Numerical Analysis: Approximation and Nonlinear Equations (4),MATH 170A. 
MATH 170C, Introduction to Numerical Analysis: Ordinary Differential Equations (4),"MATH 20D or 21D and MATH 170B, or consent of instructor. "
MATH 171A, Introduction to Numerical Optimization: Linear Programming (4),"MATH 18 or MATH 20F or MATH 31AH, and MATH 20C. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 171B, Introduction to Numerical Optimization: Nonlinear Programming (4),MATH 171A or consent of instructor.
MATH 173A, Optimization Methods for Data Science I (4),MATH 20C or MATH 31BH and MATH 20F or 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 173B, Optimization Methods for Data Science II (4),MATH 173A. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 174, Numerical Methods for Physical Modeling (4),"Math 20D or MATH 21D, and either MATH 20F or MATH 31AH, or consent of instructor. "
MATH 175, Numerical Methods for Partial Differential Equations (4),"MATH 174 or MATH 274, or consent of instructor."
MATH 179, Projects in Computational and Applied Mathematics (4),MATH 174 or MATH 274 or consent of instructor. 
MATH 180A, Introduction to Probability (4),"Math 20C or MATH 31BH, or consent of instructor. "
MATH 180B, Introduction to Stochastic Processes I (4),"MATH 20D and either MATH 18 or MATH 20F or MATH 31AH, and MATH 109 or MATH 31CH, and MATH 180A. Students who have not completed listed prerequisites may enroll with consent of instructor. "
MATH 180C, Introduction to Stochastic Processes II (4),MATH 180B or consent of instructor. 
MATH 181A, Introduction to Mathematical Statistics I (4),"MATH 180A, and MATH 18 or MATH 20F or MATH 31AH, and MATH 20C. Students who have not completed listed prerequisites may enroll with consent of instructor. "
MATH 181B, Introduction to Mathematical Statistics II (4),MATH 181A or consent of instructor. 
MATH 181C, Mathematical Statistics—Nonparametric Statistics (4),MATH 181B or consent of instructor. 
MATH 181D, Statistical Learning (4),ECE 109 or ECON 120A or MAE 108 or MATH 181A or MATH 183 or MATH 186 or MATH 189. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 181E, Mathematical Statistics—Time Series (4),MATH 181B or consent of instructor. 
MATH 181F, Sampling Surveys and Experimental Design (4),ECE 109 or ECON 120A or MAE 108 or MATH 11 or MATH 181A or MATH 183 or MATH 186 or MATH 189. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 182, Hidden Data in Random Matrices (4),"MATH 180A, and MATH 18 or MATH 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 183, Statistical Methods (4),"MATH 20C or MATH 31BH, or consent of instructor. "
MATH 184, Enumerative Combinatorics (4),MATH 31CH or MATH 109. Students who have not completed listed prerequisites may enroll with consent of instructor. 
MATH 185, Introduction to Computational Statistics (4),"MATH 11, or MATH 181A, or MATH 183, or MATH 186, or MAE 108, or ECE 109, or ECON 120A, and either MATH 18 or MATH 20F or MATH 31AH, and MATH 20C. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 186, Probability and Statistics for Bioinformatics (4),"MATH 20C or MATH 31BH, or consent of instructor. "
MATH 187A, Introduction to Cryptography (4),none. 
MATH 187B, Mathematics of Modern Cryptography (4),MATH 187 or MATH 187A and MATH 18 or MATH 31AH or MATH 20F. Students who have not completed listed prerequisites may enroll with consent of instructor. 
MATH 188, Algebraic Combinatorics (4),MATH 31CH or MATH 109 and MATH 18 or MATH 31AH and MATH 100A or 103A. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 189, Exploratory Data Analysis and Inference (4),"MATH 18 or MATH 20F or MATH 31AH, and MATH 20C and one of BENG 134, CSE 103, ECE 109, ECON 120A, MAE 108, MATH 180A, MATH 183, MATH 186, or SE 125. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 190A, Foundations of Topology I (4),MATH 31CH or MATH 140A or MATH 142A. Students who have not completed prerequisites may enroll with consent of instructor.
MATH 190B, Foundations of Topology II (4),MATH 190A. Students who have not completed the listed prerequisite may enroll with consent of instructor. 
MATH 191, Topics in Topology (4),MATH 190 or consent of instructor. 
MATH 193A, Actuarial Mathematics I (4),"MATH 180A or MATH 183, or consent of instructor. "
MATH 193B, Actuarial Mathematics II (4),MATH 193A or consent of instructor. 
MATH 194, The Mathematics of Finance (4),"MATH 20D, and either MATH 18 or MATH 20F or MATH 31AH, and MATH 180A. Students who have not completed listed prerequisites may enroll with consent of instructor. Students completing ECON 120A instead of MATH 180A must obtain consent of instructor to enroll. "
MATH 195, Introduction to Teaching in Mathematics (4),consent of instructor. 
MATH 196, Student Colloquium (1),upper-division status. 
MATH 197, Mathematics Internship (2 or 4),"completion of ninety units, two upper-division mathematics courses, an overall 2.5 UC San Diego GPA, consent of mathematics faculty coordinator, and submission of written contract. Department stamp required. "
MATH 199, Independent Study for Undergraduates (2 or 4),permission of department. 
MATH 199H, Honors Thesis Research for Undergraduates (2–4),"admission to the Honors Program in mathematics, department stamp."
